features,Decision Tree,Random Forest,KNN,SVM,NeuralNet
Density,1.0,1.0,0.9,0.9,0.2
S,0.7,0.7,0.7,0.6,0.2
Ar,0.4,0.4,0.5,0.5,0.5
R,0.5,0.5,0.2,0.4,0.4
As,0.6,0.4,0.6,0.6,0.4
"Density,S",0.7,0.6,0.3,0.4,0.6
"Density,Ar",0.8,0.9,0.5,0.7,0.4
"Density,R",1.0,0.9,0.2,0.4,0.6
"Density,As",1.0,1.0,0.2,0.6,0.2
"S,Ar",0.2,0.3,0.4,0.3,0.7
"S,R",0.7,0.6,0.6,0.6,0.1
"S,As",0.5,0.6,0.5,0.4,0.4
"Ar,R",0.4,0.4,0.3,0.5,0.4
"Ar,As",0.2,0.5,0.5,0.9,0.4
"R,As",0.3,0.4,0.4,0.5,0.4
"Density,S,Ar",1.0,1.0,0.6,0.3,0.4
"Density,S,R",1.0,0.9,0.4,0.6,0.4
"Density,S,As",1.0,1.0,0.7,0.4,0.2
"Density,Ar,R",1.0,1.0,0.7,0.5,0.4
"Density,Ar,As",0.9,1.0,0.3,0.4,0.5
"Density,R,As",0.9,0.8,0.5,0.3,0.4
"S,Ar,R",0.4,0.5,0.4,0.5,0.6
"S,Ar,As",0.6,0.6,0.6,0.7,0.5
"S,R,As",0.7,0.6,0.5,0.5,0.3
"Ar,R,As",0.8,0.6,0.8,0.5,0.1
"Density,S,Ar,R",0.8,0.8,0.3,0.5,0.2
"Density,S,Ar,As",0.9,0.8,0.4,0.5,0.5
"Density,S,R,As",1.0,0.9,0.7,0.6,0.4
"Density,Ar,R,As",1.0,0.9,0.8,0.6,0.2
"S,Ar,R,As",0.8,0.8,0.6,0.7,0.2
"Density,S,Ar,R,As",1.0,1.0,0.4,0.6,0.2
