Name,Density,S,Ar,R,As,TSI,CII,S_VALUE,P_VALUE,Y_POINT,STABILITY,ONE,TWO,THREE,FOUR,FIVE,Predicted_Class_All,Predicted_Class_Density,Predicted_Class_Density_Ar_As
GU,0.7749,62.2333333333333,23.8166666666667,12.55,1.4,0.24,1.74977085242896,5.07,,2,0.0,1,0,1,0,1,2,2,2
CU,0.7841,82.95,7.73333333333333,8.91666666666667,0.433333333333333,0.071,5.00800800800801,3.8,,1,0.0,1,0,1,0,1,2,2,2
LU/LW,0.7952,77.3666666666667,14.5666666666667,7.25,0.766666666666667,3.55,3.09,1.15,0.328947368421053,3,2.0,1,1,0,1,1,2,2,2
CP/CO,0.7982,58.3,29.6,10.3833333333333,1.71666666666667,3.18,2.15,1.24,1.33,3,2.0,0,1,0,1,1,2,2,2
R8/RB8,0.8098,53.2,43.45,2.36666666666667,0.983333333333333,1.53,1.82,1.05,1.0,2,,1,1,0,1,1,2,2,2
BA,0.8111,62.55,32.7166666666667,4.13333333333333,0.383333333333333,0.12,1.70782451379466,,,1,0.0,1,0,1,0,1,2,2,2
R3/RB3,0.8123,53.28,36.3666666666667,6.65,3.33333333333333,0.039,1.38,1.74,1.22,1,,0,1,1,1,0,2,2,2
IT/WM,0.8124,54.3333333333333,39.0666666666667,5.6,0.966666666666667,1.22,1.23805970149254,1.04,1.0,1,,0,1,0,1,1,2,2,2
YO,0.8222,8.6,0.6,0.0,54.2,0.068,1.24569288389513,5.26,,2,0.0,1,0,1,0,1,2,2,2
OB ,0.8228,49.2,32.64,16.04,2.1,0.32,1.05382087099425,1.93,2.0,1,0.0,1,0,1,0,1,2,2,2
KA,0.8235,46.0166666666667,38.4666666666667,6.28333333333333,9.25,0.14,1.23500931098696,5.1,,2,0.0,1,0,1,1,0,0,0,0
OS,0.8248,47.1,35.5,11.2666666666667,6.1,1.41,1.1375623663578,3.12,,2,0.0,1,0,1,1,0,0,0,0
GO,0.825,61.75,30.85,6.08333333333333,1.31666666666667,0.72,1.70758122743682,1.68,4.35,1,,0,1,1,1,0,0,0,0
G1,0.834,56.4333333333333,34.6,3.71666666666667,5.21666666666667,0.34,1.60896041757286,2.5,,3,2.0,0,1,0,1,1,0,0,0
AZ,0.8345,51.2666666666667,26.05,21.1,1.61666666666667,2.32,1.12159773771651,7.73,5.9,1,0.0,0,0,1,1,1,0,0,0
LA,0.8371,39.8833333333333,32.85,18.9833333333333,8.28333333333333,4.95,0.929260450160772,1.44,1.58823529411765,3,,0,1,1,1,1,0,0,0
GI,0.8396,38.95,47.9166666666667,10.6166666666667,2.51666666666667,1.28,0.708428246013667,,3.6,1,0.0,1,1,1,1,1,0,0,0
GE/LN,0.8403,55.05,32.4833333333333,5.26666666666667,6.75,0.33,2.14,3.42,1.0,3,2.0,0,1,0,1,1,0,0,0
ES,0.8455,36.8333333333333,35.6166666666667,21.35,6.2,3.27,0.755412521942657,2.7,1.78125,3,,0,1,0,1,1,0,0,0
NV/NP ,0.8475,63.95,28.0,7.76666666666667,0.3,0.72,1.79636533084809,4.65,2.0,1,0.0,1,0,1,1,1,0,0,0
TR/TL,0.852,42.8666666666667,37.2166666666667,17.15,3.6,2.2,0.854690374003679,3.29,1.87,1,0.0,1,1,1,0,0,0,0,0
AL ,0.859,21.3333333333333,59.5,9.05,10.1,7.96,0.458546073425723,2.21,1.48076923076923,1,0.0,0,1,1,1,1,0,0,0
AL1,0.8606,22.0666666666667,63.35,7.0,7.58333333333333,6.3,0.421464108031272,2.16,,2,0.0,0,1,1,1,1,0,0,0
AL2,0.8594,21.05,64.4,6.43333333333333,8.11666666666667,3.79,0.411764705882353,2.42,,2,0.0,0,1,1,1,1,0,0,0
WE,0.8635,26.9833333333333,41.5333333333333,18.9166666666667,12.6,6.37,0.654811138682106,1.79,1.5,3,,0,0,1,1,1,0,0,0
FO,0.8652,37.4333333333333,40.5166666666667,17.35,4.7,0.43,0.728110599078341,3.13,,2,0.0,1,0,1,1,1,0,0,0
EM,0.8706,25.4,30.7333333333333,30.2333333333333,13.6666666666667,6.99,0.640787315472936,1.78,1.63,2,,0,0,1,1,1,0,0,0
RP1,0.8735,22.4833333333333,59.1833333333333,10.5666666666667,7.8,5.12,0.434169653524492,3.04,1.78125,2,0.0,0,1,1,1,0,0,0,0
RA/RO,0.8741,21.5166666666667,53.5666666666667,14.45,10.4333333333333,5.2,0.469737809360451,2.95,2.25,3,0.0,0,1,1,1,0,0,0,0
RU/RO,0.8741,19.2333333333333,58.85,14.15,7.8,4.7,0.370319634703196,2.76,2.25,3,0.0,0,1,1,1,0,0,0,0
NO,0.8749,50.1,41.9666666666667,6.2,1.7,1.08,1.07543252595156,3.81,3.01,2,0.0,1,0,1,1,0,1,1,1
G2,0.876,32.1,51.1666666666667,11.4666666666667,5.25,1.28,0.596327833954231,4.44,,2,0.0,1,1,1,1,0,1,1,1
JC,0.8768,36.5333333333333,41.8,19.6166666666667,2.05,0.36,0.628222523744912,5.61,4.52674897119342,2,0.0,1,1,1,1,0,1,1,1
RP/RO,0.877,19.9666666666667,58.7166666666667,10.8,10.55,4.49,0.438983457204507,2.88,2.66666666666667,3,0.0,0,1,1,1,0,1,1,1
K1,0.8789,17.0666666666667,55.6833333333333,10.0333333333333,17.2166666666667,6.17,0.521683996956632,1.91,1.14409221902017,3,,0,0,1,1,1,1,1,1
KI/KK,0.8793,18.2666666666667,60.35,10.3166666666667,11.0666666666667,7.46,0.7,1.73,1.83,3,,0,0,1,1,1,1,1,1
JS,0.8815,20.1,51.8,21.2,6.96666666666667,4.05,0.370776255707763,2.86,3.5,3,0.0,0,1,1,1,0,1,1,1
G1,0.884,28.05,48.8166666666667,17.75,5.38333333333333,1.28,0.502253380070105,4.52,1.78125,2,0.0,1,1,1,1,0,1,1,1
EG,0.8876,43.4333333333333,42.7166666666667,12.9333333333333,0.916666666666667,1.41,0.796945193171608,4.53,1.78474851270957,2,,1,1,0,1,1,1,1,1
CA/CR,0.8922,44.9,40.7,11.5666666666667,2.85,1.71,0.91358418367347,1.77,2.43,2,,1,1,0,1,1,1,1,1
ML,0.8949,46.4833333333333,46.9833333333333,5.3,1.6,0.56,0.919668473063437,3.61,,1,0.0,1,0,1,1,1,1,1,1
SC,0.9034,42.4333333333333,43.8833333333333,9.85,3.83333333333333,1.03,0.861042183622829,5.69,,2,0.0,1,0,1,1,0,1,1,1
HI,0.9069,33.35,48.6166666666667,15.0333333333333,2.96666666666667,0.29,0.570568211573711,6.09,7.34247063011748,1,,1,1,1,1,1,1,1,1
