Sample1,Sample2,Sample3,P1,P2,P3,P-Value1,P-Value2,P-Value3,P-ValueTotal,Class1,Class2
KI,RA/RO,,20,80,0,1.78,3.1,,2.39,,0.0
KI,RA/RO,,35,65,0,1.78,3.1,,2.0,,0.0
FO,RA/RO,,15,85,0,,3.1,,3.25,0.0,0.0
FO,RA/RO,,30,70,0,,3.1,,3.09,0.0,0.0
FO,RA/RO,,35,65,0,,3.1,,3.14,0.0,0.0
FO,RA/RO,,50,50,0,,3.1,,3.24,0.0,0.0
ML,RA/RO,,15,85,0,,3.1,,3.32,1.0,0.0
ML,RA/RO,,20,80,0,,3.1,,3.48,1.0,0.0
EKO,AL,,15,85,0,,2.31,,2.45,,
EKO,AL,,30,70,0,,2.31,,2.65,,
EKO,AL,,50,50,0,,2.31,,2.76,,
EKO,AL,,70,30,0,,2.31,,3.67,,
EKO,AL,,85,15,0,,2.31,,3.81,,
EKO,JS,,30,70,0,,3.5,,2.81,,1.0
EKO,JS,,40,60,0,,3.5,,2.95,,1.0
EKO,JS,,50,50,0,,3.5,,2.99,,1.0
EKO,JS,,60,40,0,,3.5,,3.05,,1.0
OS,AL,,5,95,0,,2.31,,2.27,0.0,
OS,AL,,10,90,0,,2.31,,2.24,0.0,
OS,AL,,15,85,0,,2.31,,2.24,0.0,
OS,AL,,20,80,0,,2.31,,2.24,0.0,
OS,AL,,25,75,0,,2.31,,2.28,0.0,
OS,JS,,15,85,0,,3.5,,3.46,0.0,1.0
OS,JS,,25,75,0,,3.5,,3.31,0.0,1.0
OS,JS,,35,65,0,,3.5,,3.4,0.0,1.0
OS,JS,,45,55,0,,3.5,,3.36,0.0,1.0
OS,JS,,50,50,0,,3.5,,3.25,0.0,1.0
OS,JS,,55,45,0,,3.5,,3.25,0.0,1.0
FO,AL,,5,95,0,,2.31,,2.4,0.0,
FO,AL,,10,90,0,,2.31,,2.3,0.0,
FO,AL,,15,85,0,,2.31,,2.33,0.0,
FO,JS,,15,85,0,,3.5,,3.42,0.0,1.0
FO,JS,,20,80,0,,3.5,,3.53,0.0,1.0
FO,JS,,25,75,0,,3.5,,3.52,0.0,1.0
FO,JS,,30,70,0,,3.5,,3.51,0.0,1.0
FO,JS,,35,65,0,,3.5,,3.5,0.0,1.0
IT,JS,,15,85,0,1.1,3.5,,3.4,,1.0
IT,JS,,20,80,0,1.1,3.5,,3.14,,1.0
IT,JS,,25,75,0,1.1,3.5,,2.98,,1.0
IT,AL,,90,10,0,1.1,2.31,,2.14,,
IT,AL,,70,30,0,1.1,2.31,,2.1,,
CR,RO,,10,90,0,1.71,2.25,,2.12,,
CR,RO,,50,50,0,1.71,2.25,,1.75,,
CR,RO,,80,20,0,1.71,2.25,,1.71,,
WM,RO,,10,90,0,1.1,2.25,,2.25,,
WM,RO,,20,80,0,1.1,2.25,,2.0,,
WM,RO,,50,50,0,1.1,2.25,,1.91,,
WM,RO,,85,15,0,1.1,2.25,,1.67,,
KK,RO,,10,90,0,1.87,2.25,,2.05,,
KK,RO,,20,80,0,1.87,2.25,,1.91,,
KK,RO,,40,60,0,1.87,2.25,,1.75,,
KK,RO,,30,70,0,1.87,2.25,,1.67,,
RU/RO,RA/RO,,50,50,0,3.01,3.1,,3.09,0.0,0.0
ET,RA/RO,,10,90,0,1.63,3.1,,2.0,,0.0
CP,RA/RO,,20,80,0,1.33,3.1,,2.85,,0.0
JS,AL,,25,75,0,3.5,2.31,,3.1,1.0,
JS,AL,,50,50,0,3.5,2.31,,3.01,1.0,
JS,AL,,75,25,0,3.5,2.31,,2.46,1.0,
AX,AL,,75,25,0,,2.31,,2.34,,
AX,AL,,50,50,0,,2.31,,2.55,,
AX,AL,,25,75,0,,2.31,,2.79,,
AS,JS,,5,95,0,,3.5,,3.14,,1.0
AS,JS,,10,90,0,,3.5,,3.07,,1.0
AS,JS,,15,85,0,,3.5,,3.06,,1.0
AS,JS,,20,80,0,,3.5,,2.87,,1.0
AS,AL,,5,95,0,,2.31,,2.38,,
AS,AL,,10,90,0,,2.31,,2.2,,
AS,AL,,15,85,0,,2.31,,2.0,,
AS,AL,,20,80,0,,2.31,,2.0,,
EF,RO,,10,90,0,1.0,2.25,,1.74,,
EF,RO,,25,75,0,1.0,2.25,,1.85,,
EF,RO,,50,50,0,1.0,2.25,,1.56,,
EF,RO,,90,10,0,1.0,2.25,,1.13,,
LN,RO,,25,75,0,1.0,2.25,,1.67,,
LN,RO,,50,50,0,1.0,2.25,,1.45,,
LN,RO,,75,25,0,1.0,2.25,,1.0,,
FG,RO,,10,90,0,1.71,2.25,,2.0,,
FG,RO,,35,65,0,1.71,2.25,,1.85,,
FG,RO,,75,25,0,1.71,2.25,,1.75,,
NP,RO,,20,80,0,2.81,2.25,,2.37,,
NP,RO,,50,50,0,2.81,2.25,,2.05,,
NP,RO,,80,20,0,2.81,2.25,,1.75,,
RB8,RO,,10,90,0,1.1,2.25,,2.43,,
RB8,RO,,50,50,0,1.1,2.25,,1.97,,
RB8,RO,,95,5,0,1.1,2.25,,1.5,,
CO,RO,,10,90,0,1.33,2.25,,2.05,,
CO,RO,,35,65,0,1.33,2.25,,1.49,,
CO,RO,,75,25,0,1.33,2.25,,1.25,,
TR,RO,,20,80,0,2.5,2.25,,2.2,,
TR,RO,,70,30,0,2.5,2.25,,2.18,,
LW,RO,,10,90,0,1.0,2.25,,1.87,,
LW,RO,,35,65,0,1.0,2.25,,1.56,,
LW,RO,,75,25,0,1.0,2.25,,1.25,,
