ID,Density,S,Ar,R,As,CII,Class
GU,0.7749,62.2333333333333,23.8166666666667,12.55,1.4,1.74977085242896,light
CU,0.7841,82.95,7.73333333333333,8.91666666666667,0.433333333333333,5.00800800800801,light
LU/LW,0.7952,77.3666666666667,14.5666666666667,7.25,0.766666666666667,3.58135981665393,light
CP/CO,0.7982,58.3,29.6,10.3833333333333,1.71666666666667,1.50104210087537,light
R8/RB8,0.8098,53.2,43.45,2.36666666666667,0.983333333333333,1.18261185885777,light
BA,0.8111,62.55,32.7166666666667,4.13333333333333,0.383333333333333,1.70782451379466,light
R3/RB3,0.8123,53.28,36.3666666666667,6.65,3.33333333333333,1.31607903913212,light
IT/WM,0.8124,54.3333333333333,39.0666666666667,5.6,0.966666666666667,1.23805970149254,light
YO,0.8222,54.2,30.3,14.2,1.23333333333333,1.24569288389513,light
OB ,0.8228,49.2,32.64,16.04,2.1,1.05382087099425,light
KA,0.8235,46.0166666666667,38.4666666666667,6.28333333333333,9.25,1.23500931098696,medium
OS,0.8248,47.1,35.5,11.2666666666667,6.1,1.1375623663578,medium
GO,0.825,61.75,30.85,6.08333333333333,1.31666666666667,1.70758122743682,medium
G1*,0.834,56.4333333333333,34.6,3.71666666666667,5.21666666666667,1.60896041757286,medium
AZ,0.8345,51.2666666666667,26.05,21.1,1.61666666666667,1.12159773771651,medium
LA,0.8371,39.8833333333333,32.85,18.9833333333333,8.28333333333333,0.929260450160772,medium
GI,0.8396,38.95,47.9166666666667,10.6166666666667,2.51666666666667,0.708428246013667,medium
GE/LN,0.8403,55.05,32.4833333333333,5.26666666666667,6.75,1.63708609271523,medium
ES,0.8455,36.8333333333333,35.6166666666667,21.35,6.2,0.755412521942657,medium
NV/NP ,0.8475,63.95,28,7.76666666666667,0.3,1.79636533084809,medium
TR/TL,0.852,42.8666666666667,37.2166666666667,17.15,3.6,0.854690374003679,medium
AL ,0.859,21.3333333333333,59.5,9.05,10.1,0.458546073425723,medium
AL1,0.8606,22.0666666666667,63.35,7,7.58333333333333,0.421464108031272,medium
AL2,0.8594,21.05,64.4,6.43333333333333,8.11666666666667,0.411764705882353,medium
WE,0.8635,26.9833333333333,41.5333333333333,18.9166666666667,12.6,0.654811138682106,medium
FO,0.8652,37.4333333333333,40.5166666666667,17.35,4.7,0.728110599078341,medium
EM,0.8706,25.4,30.7333333333333,30.2333333333333,13.6666666666667,0.640787315472936,medium
RP1,0.8735,22.4833333333333,59.1833333333333,10.5666666666667,7.8,0.434169653524492,medium
RA/RO,0.8741,21.5166666666667,53.5666666666667,14.45,10.4333333333333,0.469737809360451,medium
RU/RO,0.8741,19.2333333333333,58.85,14.15,7.8,0.370319634703196,medium
NO,0.8749,50.1,41.9666666666667,6.2,1.7,1.07543252595156,heavy
G2,0.876,32.1,51.1666666666667,11.4666666666667,5.25,0.596327833954231,heavy
JC,0.8768,36.5333333333333,41.8,19.6166666666667,2.05,0.628222523744912,heavy
RP/RO,0.877,19.9666666666667,58.7166666666667,10.8,10.55,0.438983457204507,heavy
K1,0.8789,17.0666666666667,55.6833333333333,10.0333333333333,17.2166666666667,0.521683996956632,heavy
KI/KK,0.8793,18.2666666666667,60.35,10.3166666666667,11.0666666666667,0.415094339622642,heavy
JS,0.8815,20.1,51.8,21.2,6.96666666666667,0.370776255707763,heavy
G1,0.884,28.05,48.8166666666667,17.75,5.38333333333333,0.502253380070105,heavy
EG,0.8876,43.4333333333333,42.7166666666667,12.9333333333333,0.916666666666667,0.796945193171608,heavy
CA/CR,0.8922,44.9,40.7,11.5666666666667,2.85,0.91358418367347,heavy
ML,0.8949,46.4833333333333,46.9833333333333,5.3,1.6,0.919668473063437,heavy
SC,0.9034,42.4333333333333,43.8833333333333,9.85,3.83333333333333,0.861042183622829,heavy
HI,0.9069,33.35,48.6166666666667,15.0333333333333,2.96666666666667,0.570568211573711,heavy
LO,0.9084,24.1833333333333,44.4333333333333,27.15,4.23333333333333,0.39697322467986,heavy
C1,0.9098,23.3833333333333,44.9666666666667,19.45,12.1666666666667,0.551875808538163,heavy
AR,0.912,21.0166666666667,63.85,10.6833333333333,4.06666666666667,0.336538461538462,heavy
CL,0.9123,23.2333333333333,46.2166666666667,17.5666666666667,12.9666666666667,0.567546380977267,heavy
HE,0.9317,25.3166666666667,50.4666666666667,17.5666666666667,6.63333333333333,0.469622733953944,heavy
EB/EK,0.9478,19.15,52.1333333333333,26.3333333333333,2.4,0.27463891248938,heavy
HA,0.9478,7.45,52.2833333333333,20.95,19.3166666666667,0.365498406918525,heavy
ME,0.959,6.36666666666667,42.4833333333333,28.1166666666667,23.0166666666667,0.416194523135033,heavy
